,Reward,Average Reward
258,9.198667791858313,-33.50353425943691
259,9.365832536903689,-32.57875103502853
260,-66.02508638577122,-32.81753714504305
261,25.48404174637558,-32.380863080849934
262,-1.7973916077961765,-31.74896050625585
263,-40.338611482466185,-32.28594562611726
264,-18.374736318491163,-32.58443413899662
265,-40.580489948622635,-32.35837493794389
266,-30.198991334837324,-31.967639600737538
267,-30.07373261769307,-31.989048068954407
268,-20.002581076182747,-31.3128123931931
269,29.62847005070961,-29.580918110505813
270,-42.66060004593625,-30.209843548214057
271,-15.675431628148132,-29.720980014433806
272,18.7790530693851,-29.648465133710655
273,9.712221739105171,-26.50219454000124
274,8.73166119759166,-25.96700811479283
275,-51.89242157591809,-25.976758655301854
276,-23.74197207654329,-25.552930263144372
277,-113.0192813734743,-26.386990423650882
278,32.44195178218189,-25.700015208789413
279,-47.883687276291155,-25.627167397096102
280,-45.61013319462856,-25.06298920826347
281,-87.59373484111907,-26.35939760390196
282,-2.390719420121111,-26.182967049948175
283,-5.0756324008949845,-25.44169294452761
284,-161.3132299591453,-24.299274149733897
285,-86.38201697095103,-24.863520121895462
286,-83.62797391872397,-25.403631207045287
287,-211.61689708404197,-27.261357310129416
288,-33.418136234631554,-26.676808238973628
289,-56.49629072503453,-27.09074942844134
290,-35.37244028641685,-27.165247307769327
291,-43.65357240738189,-27.25130181302349
292,186.2394996146757,-25.21253806253355
293,3.4576009739515907,-24.924772469086818
294,-22.28026136562365,-23.40989375924203
295,-187.94225192764407,-25.271805047723266
296,-18.742400228731665,-24.703637822381342
297,-29.61212583209241,-25.03149458133539
298,-13.839687015797569,-24.726484791789353
299,-16.519596564715542,-25.14183730323547
300,-31.156176634655615,-25.562240213821664
301,17.455594734253967,-25.220114278573174
302,31.463078575648705,-24.206896598118043
303,-11.048161761174676,-24.18766738045079
304,178.6539354709096,-22.635885377917084
305,9.325533149943906,-20.471193183173362
306,-30.100023028796173,-20.896402163438356
307,38.12515506375747,-20.071114517120378
308,59.68868400750904,-18.544235326634375
309,-2.6551771201679166,-18.49519045084929
310,-42.95408209440297,-18.9378629866954
311,61.99011253083218,-18.2598003206651
312,-58.94838422150189,-18.361812416427117
313,66.25523471493621,-17.206640289867185
314,-53.88677019245371,-17.68066596224647
315,37.48503703522915,-16.930541345606663
316,28.286666426127624,-16.114576891264388
317,58.20833270715716,-15.389461967846733
318,10.178533795423704,-15.65500248851891
319,11.27780571183768,-15.41072488953918
320,1.3224868452890028,-15.079890951759559
321,-64.93505239712457,-15.894088407571216
322,1.8860509754933077,-16.08577516941597
323,86.58872088380356,-15.054220921503356
324,69.35918373341536,-14.324855180986633
325,25.498116814237573,-13.615701585236998
326,23.420922412529173,-13.526944124823622
327,33.708368237318176,-13.058650872029562
328,24.320304608078054,-12.533897578818895
329,77.62788146986153,-11.3600662375998
330,-15.31563477910273,-11.51069074286189
331,14.123066433851895,-11.306260212398536
332,-104.27477715993629,-12.284736236071662
333,63.96210457590396,-11.538230378954326
334,32.787854623519145,-11.409668791898518
335,8.044124208210643,-11.341378404250284
336,5.761247758160256,-11.36782187562294
337,-19.299730226091437,-11.650780988013258
338,18.248848983365978,-10.420457486371436
339,-8.78408767297778,-10.724689042791976
340,-69.78402627653227,-11.104730344591452
341,-13.278715397626657,-10.876532554957873
342,161.33453713556403,-8.933827363892926
343,21.582568382071724,-8.746636112374901
344,9.022091505888863,-8.251760859193217
345,206.44954446841123,-5.519882503773886
346,166.51431126669758,-3.2955685489936006
347,196.81565560054906,-1.6946830996180893
348,70.76940617276955,-0.7765877800833914
349,231.195702522464,1.9043654492481517
350,198.55642196601724,3.9613669011562433
351,9.847597497823989,4.994700948946471
352,216.74552034959135,7.518767610119203
353,155.40014361980596,8.903217244794265
354,272.18340346870684,11.387215832473213
355,-76.71033078221109,10.417140860608217
356,60.49882613112012,11.348663392431398
357,18.863944517063953,11.369884167232645
358,11.637194572211675,11.39426943503618
359,115.75944912342476,12.458205600901387
360,-24.090690571499945,12.877549559044104
361,-67.88479914256456,11.943861150154698
362,74.74503496383267,12.709285415870989
363,119.68203443815513,14.309491875077203
364,135.75357856275912,15.850775023889705
365,35.97958738618851,16.616375797237815
366,191.45144821467042,18.832880192732894
367,247.53102356366475,21.60892775454647
368,68.58161349223687,22.494769700230666
369,128.29411683239752,23.48142616804755
370,81.12847524290474,24.719316920935956
371,66.84125283538121,25.54448376557125
372,13.246454234448532,25.489157777221884
373,64.65179245650845,26.038553484395912
374,96.0206669062626,26.911443541482626
375,91.98662730067524,28.350234030248558
376,-12.403785682501988,28.46361589418897
377,61.11937100646398,30.205002417988354
378,11.773483841348936,29.998317738580027
379,29.69675058572849,30.77412211720022
380,255.49736141619837,33.785197063308495
381,105.25478993615297,35.71368231108121
382,116.26307314901968,36.900220236772626
383,197.42086510366363,38.92518521181822
384,191.70176810657642,42.45533519247543
385,241.71922427023443,45.73634760488728
386,85.04931952143039,47.42312053928882
387,185.4469870402446,51.39375938053169
388,218.85154190995283,53.91645616197753
389,183.44978310696524,56.315916900297545
390,225.48267100715694,58.924468013233266
391,220.3721834740282,61.56472557204738
392,221.92981975761336,61.92162877347674
393,223.79566072400013,64.12500937097724
394,229.59713572633282,66.64378334189679
395,254.46690938172924,71.06787495499053
396,235.66132704840652,73.61191222776192
397,219.91334621709746,76.1071669482538
398,217.81565926842455,78.42372041109603
399,196.75632112699333,80.55647958801312
400,76.36934458732627,81.63173480023295
401,227.3092114504828,83.73027096739523
402,231.12283255080285,85.72686850714678
403,185.61623508378761,87.69351247559639
404,206.44785951778601,87.97145171606515
